"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M3SP01","[]","Name three-dimensional objects","Student can name familiar three-dimensional objects such as cube, sphere, cylinder, cone, prism and pyramid.","1","early","Shown a cylinder, the student names it.","Student names a 3D object by a related 2D shape, calling a cube a square.","Show 3D objects. Ask the student to name each.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP01","[]","Describe key features of an object","Student can describe a 3D object by features such as its faces, edges and vertices, or curved and flat surfaces.","2","middle","The student says a cube has 6 flat square faces and 8 corners.","Student counts faces or corners incorrectly, or describes only the look.","Show 3D objects. Ask the student to describe the features of each.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP01","[]","Classify objects by features","Student can classify a collection of 3D objects by key features.","3","middle","The student sorts objects into those that roll and those that do not.","Student sorts by colour or size rather than a geometric feature.","Give a set of 3D objects. Ask the student to sort them by a feature and explain the rule.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP01","[]","Make a three-dimensional object","Student can make a 3D object using materials such as connecting cubes or straws.","4","middle","The student builds a rectangular prism from connecting cubes.","Student builds an object that does not match the named one.","Ask the student to make a named 3D object with materials.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP01","[]","Explain why a feature suits a use","Student can explain why an object's features make it suited to its use.","5","late","The student says a cylinder rolls, so it suits a can that needs to roll off a shelf, or a ball is a sphere so it rolls in any direction.","Student describes the object but not why its features suit the use.","Show objects with a use. Ask the student why the shape suits the job.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP02","[]","Locate landmarks on a map","Student can locate key landmarks on a simple two-dimensional map.","1","early","On a map of the classroom, the student finds the door and the reading corner.","Student cannot match map symbols to real places.","Give a simple map. Ask the student to find named landmarks.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP02","[]","Describe positions relative to each other","Student can describe where landmarks are in relation to each other on a map.","2","middle","The student says the library is next to the office and across from the hall.","Student describes places in isolation rather than in relation to each other.","Show a map. Ask the student to describe where places are relative to one another.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP02","[]","Create a map of a familiar space","Student can create a two-dimensional map of a familiar space showing key features.","3","middle","The student sketches the classroom showing the door, desks and reading corner in roughly the right places.","Student draws features in the wrong relative positions, or leaves out key ones.","Ask the student to draw a map of a familiar space showing its key features.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP02","[]","Use a plan to locate yourself","Student can use a simple hand-held plan to locate themselves within a space.","4","middle","Holding a plan, the student points to where they are standing.","Student cannot relate their real position to the plan.","Give the student a plan of the room. Ask them to show where they are.","False","False","system_default","","","False","pending_review","",""
"","AC9M3SP02","[]","Mark a route or location on a map","Student can mark a route or a hidden location on a map and explain it.","5","late","The student marks where an object is hidden and describes the path to it.","Student marks a location inconsistent with the real space.","Ask the student to mark a location or route on a map and describe it.","False","False","system_default","","","False","pending_review","",""
