"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M4M01","[]","Read a scale between marked units","Student can read a measurement at a point between the marked units on a scaled instrument.","1","early","On a jug marked every 100 mL, the student reads a level as 250 mL.","Student reads only the marked numbers, rounding to the nearest mark.","Give scaled instruments with values between marks. Ask the student to read each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M01","[]","Choose the unit and instrument","Student can choose a suitable unit and instrument to measure an attribute.","2","middle","To measure a desk, the student chooses a tape measure and centimetres.","Student chooses an instrument or unit that does not suit the attribute.","Name things to measure. Ask the student which instrument and unit they would use.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M01","[]","Measure mass with scales","Student can measure mass using digital or analog kitchen scales.","3","middle","The student reads a parcel as 350 g on the scales.","Student misreads between the markings or the digital display.","Give objects and scales. Ask the student to measure the mass of each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M01","[]","Measure capacity with a jug","Student can measure capacity using a scaled measuring jug.","4","middle","The student measures 600 mL of water in the jug.","Student reads the level above or below eye line, misreading the scale.","Give a jug and containers. Ask the student to measure the capacity of each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M01","[]","Read temperature on a scale","Student can read temperature on a scaled thermometer.","5","late","The student reads 22 degrees between the marked tens.","Student reads only the marked numbers or misreads the scale direction.","Show thermometers at various readings. Ask the student to read each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M02","[]","Find the perimeter of a shape","Student can find the perimeter of a shape by adding the side lengths.","1","early","For a rectangle 5 cm by 3 cm, the student adds the four sides to get 16 cm.","Student adds only two sides, or confuses perimeter with area.","Give shapes with labelled sides. Ask the student to find the perimeter.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M02","[]","Measure area by counting units","Student can find the area of a shape by counting square units.","2","middle","On grid paper, the student counts the squares a rectangle covers.","Student counts the boundary squares only, or counts unit lengths.","Give shapes on grid paper. Ask the student to find the area in square units.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M02","[]","Distinguish area from perimeter","Student can distinguish between area and perimeter and choose the right one for a task.","3","middle","Asked how much fence is needed, the student chooses perimeter; for turf, area.","Student uses area when perimeter is needed, or the reverse.","Pose tasks. Ask the student whether each needs area or perimeter and why.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M02","[]","Approximate the area of an irregular shape","Student can approximate the area of an irregular shape using square units.","4","late","Counting whole and part squares, the student estimates the area of a leaf shape.","Student ignores part squares, or counts every touched square as whole.","Give an irregular shape on grid paper. Ask the student to approximate its area.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M03","[]","Calculate elapsed time","Student can calculate the amount of time between two events.","1","early","From 9:15 to 9:50, the student finds 35 minutes.","Student subtracts the digits without regard to 60 minutes in an hour.","Pose start and end times. Ask the student to find the elapsed time.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M03","[]","Use am and pm","Student can use am and pm to describe and reason about times.","2","middle","The student says 3 pm is in the afternoon and 3 am is at night.","Student confuses am and pm, or thinks 12 pm is midnight.","Pose times. Ask the student to use am or pm and reason about them.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M03","[]","Convert between units of time","Student can convert between units of time using known relationships.","3","middle","The student converts 120 minutes to 2 hours.","Student converts using 100 instead of 60.","Pose conversions between minutes, hours and days. Ask the student to convert each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M03","[]","Solve a duration problem across am and pm","Student can solve a duration problem that crosses from am to pm.","4","late","From 11:30 am to 1:15 pm, the student finds 1 hour 45 minutes.","Student miscounts across the midday boundary.","Pose duration problems that cross midday. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M04","[]","Name types of angles","Student can name angles as acute, right, obtuse, straight, reflex or a revolution.","1","early","Shown an angle smaller than a right angle, the student calls it acute.","Student confuses acute and obtuse, or calls any angle a right angle.","Show angles of different sizes. Ask the student to name each type.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M04","[]","Compare an angle to a right angle","Student can compare an angle to a right angle and name it accordingly.","2","middle","Using a right-angle template, the student decides an angle is obtuse.","Student compares by arm length rather than the opening.","Give angles and a right-angle template. Ask the student to compare and name each.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M04","[]","Estimate the size of an angle","Student can estimate whether an angle is acute, right or obtuse before checking.","3","middle","The student estimates an angle as obtuse, then checks with a template.","Student estimates by appearance with no reference to a right angle.","Show angles. Ask the student to estimate the type before checking.","False","False","system_default","","","False","pending_review","",""
"","AC9M4M04","[]","Classify the angles in a shape","Student can classify the interior angles of a shape by type.","4","late","In a triangle, the student identifies the acute and the obtuse angles.","Student labels all angles the same, or misjudges the right angle.","Give shapes. Ask the student to classify each interior angle.","False","False","system_default","","","False","pending_review","",""
