"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"ac9m2a01-ic01","AC9M2A01","[]","Recognising increasing and decreasing patterns","Students identify whether a pattern made with numbers, shapes or objects is increasing or decreasing by a constant amount, and name the constant term being added or subtracted.","1","early","Given a pattern like 3, 6, 9, 12 the student says it goes up by 3 each time and correctly identifies the next term as 15.","Student describes the pattern in general terms (it gets bigger) without identifying the constant amount.","Show me this pattern: 2, 5, 8, 11. Is it increasing or decreasing? By how much each time?","False","False","system_default","","","False","active","","Cross-descriptor link candidate: connects to AC9M2N04 (add and subtract) as students use addition and subtraction to identify the constant term."
"ac9m2a01-ic02","AC9M2A01","[]","Continuing a pattern sequence with materials","Students use physical or virtual materials to continue an additive pattern for at least 3 more terms, applying the identified constant term.","2","early","Given 4 counters, 7 counters, 10 counters arranged in groups, the student adds 3 more each time and builds the next two terms correctly.","Student copies the most recent term rather than applying the rule, creating a repeated element instead of continuing the pattern.","Here are some blocks in a pattern: 1, 4, 7. Build the next two terms using blocks.","False","False","system_default","","","False","active","",""
"ac9m2a01-ic03","AC9M2A01","[]","Creating a pattern sequence from a given rule","Students create their own additive pattern sequence using a teacher-specified constant (e.g. make a pattern that goes up by 4) with numbers, shapes or objects.","3","middle","Given the rule increase by 5, the student writes 10, 15, 20, 25, 30 and can explain why each term follows the rule.","Student applies the rule inconsistently, skipping or doubling the constant in some steps.","Make a pattern that starts at 6 and increases by 3. Write the first 5 terms.","False","False","system_default","","","False","active","",""
"ac9m2a01-ic04","AC9M2A01","[]","Identifying missing elements in a pattern","Students locate and fill in missing terms within a pattern sequence, using the constant term to work forwards or backwards.","4","middle","Given 5, [?], 15, 20, [?], the student correctly identifies 10 and 25 using the rule add 5.","Student guesses missing terms without checking against the rule, producing terms that do not fit the pattern.","Fill in the missing numbers: 3, [?], 9, [?], 15. How did you work them out?","False","False","system_default","","","False","active","",""
"ac9m2a01-ic05","AC9M2A01","[AC9M2N04]","Recording patterns and describing the rule","Students record an additive pattern as a number sequence, write a description of the rule in their own words, and verify a classmate can replicate it from the description.","5","middle","The student writes 2, 7, 12, 17, 22 - add 5 each time and a classmate successfully continues it to 32.","Student describes the pattern by listing terms rather than stating the rule, so the description cannot be used to generate the sequence.","Write a pattern of your own. Write down the rule so someone else can continue it without seeing your original.","False","False","system_default","","","False","active","","Cross-descriptor link candidate: connects to AC9M2N04 as students use two-digit addition to generate and verify terms."
"ac9m2a01-ic06","AC9M2A01","[]","Recognising additive patterns in the environment","Students identify and describe additive patterns observed in real-world contexts such as tiling, stair steps or number charts, connecting the pattern to a constant term.","6","late","Looking at a staircase diagram, the student says each step adds 2 more blocks so it goes 2, 4, 6, 8 and identifies this as an additive pattern increasing by 2.","Student notices the visual pattern but cannot connect it to a numerical rule or constant term.","Look at this tiling pattern. Can you see a number pattern? What is the rule?","True","False","system_default","","","False","active","","nan | AUDIT: Marked optional - from elaborations, not a named CD verb. Useful enrichment but not required for mastery."
"ac9m2a02-ic01","AC9M2A02","[]","Building part-part-whole knowledge to 10","Students use materials or ten-frames to represent all combinations that make each number to 10, recording the related addition facts.","1","early","Given 7, the student names all pairs: 0+7, 1+6, 2+5, 3+4 and reverses, using a ten-frame without counting.","Student can only recall some combinations and reverts to counting on fingers for others.","Using a ten-frame, show me all the ways to make 8. Write each one as a number sentence.","False","False","system_default","","","False","active","",""
"ac9m2a02-ic02","AC9M2A02","[AC9M2A03]","Using doubles facts to 20","Students recall doubles facts (1+1 through 10+10) fluently and use them as anchors for near-doubles strategies.","2","early","The student instantly recalls 6+6=12 and uses it to solve 6+7 by saying that is one more than 12, so 13.","Student knows doubles but does not connect them to near-doubles, treating each fact as isolated.","What is 7+7? Now use that to work out 7+8. Explain your thinking.","False","False","system_default","","","False","active","","Cross-descriptor link candidate: connects to AC9M2A03 as doubling is a foundation for multiplication facts for twos."
"ac9m2a02-ic03","AC9M2A02","[]","Bridging to 10 for addition","Students use knowledge of combinations to 10 to bridge through 10 when adding, partitioning one addend to complete the ten then adding the remainder.","3","middle","To solve 8+5, the student partitions 5 into 2+3, adds 8+2=10, then adds 3 to get 13, without counting.","Student attempts to count on from the larger number rather than bridging, losing track before reaching the answer.","Solve 9+6 without counting. Show me how you used 10 to help.","False","False","system_default","","","False","active","",""
"ac9m2a02-ic04","AC9M2A02","[]","Recalling addition facts to 20 fluently","Students demonstrate rapid recall of all addition facts with totals to 20 without needing to count or use materials.","4","middle","When shown a flashcard for 7+8, the student responds 15 within 3 seconds without visible counting strategy.","Student recalls facts for small numbers quickly but still counts on for facts involving larger single digits.","Answer each addition fact as quickly as you can.","False","False","system_default","","","False","active","",""
